match_id,date,season,venue,team,opponent,winner,team_win,expanding_win_pct,ewm_win_pct,win_streak,team_margin,ewm_margin_strength,ewm_margin_volatility,opponent_expanding_win_pct,diff_expanding_win_pct,opponent_ewm_win_pct,diff_ewm_win_pct,opponent_win_streak,diff_win_streak,opponent_ewm_margin_strength,diff_ewm_margin_strength,opponent_ewm_margin_volatility,diff_ewm_margin_volatility,season_exp_win_pct,season_roll5_win_pct,opponent_season_exp_win_pct,diff_season_exp_win_pct,opponent_season_roll5_win_pct,diff_season_roll5_win_pct
2008_11th,2008-04-26,2008,MA Chidambaram Stadium (Chennai),Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,1.0,1.0,2.0,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
2008_12th,2008-04-26,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,1,0.6666666666666666,0.51,2.0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.51,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666
2008_14th,2008-04-27,2008,Dr DY Patil Sports Academy (Mumbai),Deccan Chargers,Mumbai Indians,Deccan Chargers,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_13th,2008-04-27,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Delhi Capitals,Punjab Kings,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_14th,2008-04-27,2008,Dr DY Patil Sports Academy (Mumbai),Mumbai Indians,Deccan Chargers,Deccan Chargers,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_13th,2008-04-27,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Punjab Kings,Delhi Capitals,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_15th,2008-04-28,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,0,0.0,0.0,0.0,0,0.0,0.0,1.0,-1.0,1.0,-1.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2008_15th,2008-04-28,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,1,1.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2008_16th,2008-04-29,2008,Eden Gardens (Kolkata),Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,0.0,0.0,0.0,0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.7,-0.7,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.6666666666666666
2008_16th,2008-04-29,2008,Eden Gardens (Kolkata),Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,0.6666666666666666,0.7,2.0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.7,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666
2008_17th,2008-04-30,2008,Arun Jaitley Stadium (Delhi),Delhi Capitals,Royal Challengers Bengaluru,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_17th,2008-04-30,2008,Arun Jaitley Stadium (Delhi),Royal Challengers Bengaluru,Delhi Capitals,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_19th,2008-05-01,2008,Rajiv Gandhi International Stadium (Hyderabad),Deccan Chargers,Punjab Kings,Kings XI Punjab,0,0.25,0.3,1.0,0,0.0,0.0,0.0,0.25,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25
2008_18th,2008-05-01,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,0.75,0.6569999999999999,3.0,0,0.0,0.0,0.5,0.25,0.48999999999999994,0.16699999999999998,2.0,1.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.25,0.5,0.25
2008_19th,2008-05-01,2008,Rajiv Gandhi International Stadium (Hyderabad),Punjab Kings,Deccan Chargers,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.25,-0.25,0.3,-0.3,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.25,-0.25
2008_18th,2008-05-01,2008,Sawai Mansingh Stadium (Jaipur),Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,0,0.5,0.48999999999999994,2.0,0,0.0,0.0,0.75,-0.25,0.6569999999999999,-0.16699999999999998,3.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.75,-0.25,0.75,-0.25
2008_20th,2008-05-02,2008,MA Chidambaram Stadium (Chennai),Delhi Capitals,Chennai Super Kings,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,1.0,-1.0,1.0,-1.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2008_20th,2008-05-02,2008,MA Chidambaram Stadium (Chennai),Chennai Super Kings,Delhi Capitals,Delhi Daredevils,0,1.0,1.0,4.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2008_22nd,2008-05-03,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,0,0.4,0.3429999999999999,2.0,0,0.0,0.0,0.0,0.4,0.0,0.3429999999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.4
2008_21st,2008-05-03,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bangalore,0,0.0,0.0,0.0,0,0.0,0.0,0.2,-0.2,0.21,-0.21,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,-0.2
2008_22nd,2008-05-03,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Punjab Kings,Kolkata Knight Riders,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.4,-0.4,0.3429999999999999,-0.3429999999999999,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,0.4,-0.4
2008_21st,2008-05-03,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bangalore,0,0.2,0.21,1.0,0,0.0,0.0,0.0,0.2,0.0,0.21,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
2008_23rd,2008-05-04,2008,Dr DY Patil Sports Academy (Mumbai),Mumbai Indians,Delhi Capitals,Mumbai Indians,1,0.2,0.3,1.0,0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
2008_24th,2008-05-04,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,1,0.8,0.7598999999999999,4.0,0,0.0,0.0,0.8,0.0,0.7,0.05989999999999995,4.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.8,0.0
2008_23rd,2008-05-04,2008,Dr DY Patil Sports Academy (Mumbai),Delhi Capitals,Mumbai Indians,Mumbai Indians,0,0.0,0.0,0.0,0,0.0,0.0,0.2,-0.2,0.3,-0.3,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,-0.2
2008_24th,2008-05-04,2008,Sawai Mansingh Stadium (Jaipur),Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,0.8,0.7,4.0,0,0.0,0.0,0.8,0.0,0.7598999999999999,-0.05989999999999995,4.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.8,0.0
2008_25th,2008-05-05,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Punjab Kings,Royal Challengers Bengaluru,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_25th,2008-05-05,2008,"M Chinnaswamy Stadium (Bengaluru, Bangalore)",Royal Challengers Bengaluru,Punjab Kings,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_26th,2008-05-06,2008,MA Chidambaram Stadium (Chennai),Chennai Super Kings,Deccan Chargers,Deccan Chargers,0,0.6666666666666666,0.48999999999999994,3.0,0,0.0,0.0,0.16666666666666666,0.5,0.147,0.34299999999999997,1.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.16666666666666666,0.5,0.2,0.39999999999999997
2008_26th,2008-05-06,2008,MA Chidambaram Stadium (Chennai),Deccan Chargers,Chennai Super Kings,Deccan Chargers,1,0.16666666666666666,0.147,1.0,0,0.0,0.0,0.6666666666666666,-0.5,0.48999999999999994,-0.34299999999999997,3.0,-2.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.6666666666666666,-0.5,0.6,-0.39999999999999997
2008_27th,2008-05-07,2008,Dr DY Patil Sports Academy (Mumbai),Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,0.3333333333333333,0.51,2.0,0,0.0,0.0,0.8333333333333334,-0.5,0.8319299999999998,-0.3219299999999998,5.0,-3.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.8333333333333334,-0.5,1.0,-0.6
2008_27th,2008-05-07,2008,Dr DY Patil Sports Academy (Mumbai),Rajasthan Royals,Mumbai Indians,Mumbai Indians,0,0.8333333333333334,0.8319299999999998,5.0,0,0.0,0.0,0.3333333333333333,0.5,0.51,0.3219299999999998,2.0,3.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.3333333333333333,0.5,0.4,0.6
2008_29th,2008-05-08,2008,Eden Gardens (Kolkata),Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,1,0.3333333333333333,0.24009999999999992,1.0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.24009999999999992,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.3333333333333333,0.0,0.2
2008_28th,2008-05-08,2008,Arun Jaitley Stadium (Delhi),Delhi Capitals,Chennai Super Kings,Chennai Super Kings,0,0.0,0.0,0.0,0,0.0,0.0,0.5714285714285714,-0.5714285714285714,0.3429999999999999,-0.3429999999999999,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,-0.5714285714285714,0.4,-0.4
2008_28th,2008-05-08,2008,Arun Jaitley Stadium (Delhi),Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1,0.5714285714285714,0.3429999999999999,2.0,0,0.0,0.0,0.0,0.5714285714285714,0.0,0.3429999999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.4,0.0,0.5714285714285714,0.0,0.4
2008_29th,2008-05-08,2008,Eden Gardens (Kolkata),Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.24009999999999992,-0.24009999999999992,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.2,-0.2
2008_30th,2008-05-09,2008,Sawai Mansingh Stadium (Jaipur),Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0,0.2857142857142857,0.4029,2.0,0,0.0,0.0,0.7142857142857143,-0.4285714285714286,0.5823509999999998,-0.17945099999999986,4.0,-2.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.4,0.7142857142857143,-0.4285714285714286,0.8,-0.4
2008_30th,2008-05-09,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,0.7142857142857143,0.5823509999999998,4.0,0,0.0,0.0,0.2857142857142857,0.4285714285714286,0.4029,0.17945099999999986,2.0,2.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.8,0.2857142857142857,0.4285714285714286,0.4,0.4
2008_31st,2008-05-10,2008,MA Chidambaram Stadium (Chennai),Chennai Super Kings,Punjab Kings,Chennai Super Kings,1,0.625,0.5400999999999999,2.0,0,0.0,0.0,0.0,0.625,0.0,0.5400999999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.625,0.4,0.0,0.625,0.0,0.4
2008_31st,2008-05-10,2008,MA Chidambaram Stadium (Chennai),Punjab Kings,Chennai Super Kings,Chennai Super Kings,0,0.0,0.0,0.0,0,0.0,0.0,0.625,-0.625,0.5400999999999999,-0.5400999999999999,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,-0.625,0.4,-0.4
2008_33rd,2008-05-11,2008,Sawai Mansingh Stadium (Jaipur),Delhi Capitals,Rajasthan Royals,Rajasthan Royals,0,0.0,0.0,0.0,0,0.0,0.0,0.75,-0.75,0.7076456999999998,-0.7076456999999998,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,-0.75,0.8,-0.8
2008_32nd,2008-05-11,2008,Rajiv Gandhi International Stadium (Hyderabad),Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,1,0.42857142857142855,0.46806999999999993,1.0,0,0.0,0.0,0.25,0.17857142857142855,0.28202999999999995,0.18603999999999998,2.0,-1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2,0.25,0.17857142857142855,0.4,-0.2
2008_33rd,2008-05-11,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Delhi Capitals,Rajasthan Royals,1,0.75,0.7076456999999998,4.0,0,0.0,0.0,0.0,0.75,0.0,0.7076456999999998,0.0,4.0,0.0,0.0,0.0,0.0,0.75,0.8,0.0,0.75,0.0,0.8
2008_32nd,2008-05-11,2008,Rajiv Gandhi International Stadium (Hyderabad),Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,0.25,0.28202999999999995,2.0,0,0.0,0.0,0.42857142857142855,-0.17857142857142855,0.46806999999999993,-0.18603999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4,0.42857142857142855,-0.17857142857142855,0.2,0.2
2008_34th,2008-05-12,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Royal Challengers Bengaluru,Punjab Kings,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_34th,2008-05-12,2008,"Punjab Cricket Association IS Bindra Stadium (Mohali, Chandigarh)",Punjab Kings,Royal Challengers Bengaluru,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_35th,2008-05-13,2008,Eden Gardens (Kolkata),Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,0,0.0,0.0,0.0,0,0.0,0.0,0.5,-0.5,0.6276489999999999,-0.6276489999999999,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.4,-0.4
2008_35th,2008-05-13,2008,Eden Gardens (Kolkata),Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,1,0.5,0.6276489999999999,2.0,0,0.0,0.0,0.0,0.5,0.0,0.6276489999999999,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.5,0.0,0.4
2008_36th,2008-05-14,2008,Wankhede Stadium (Mumbai),Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,0.6666666666666666,0.67807,2.0,0,0.0,0.0,0.42857142857142855,0.23809523809523808,0.6569999999999999,0.021070000000000033,3.0,-1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.42857142857142855,0.23809523809523808,0.6,-0.19999999999999996
2008_36th,2008-05-14,2008,Wankhede Stadium (Mumbai),Mumbai Indians,Chennai Super Kings,Mumbai Indians,1,0.42857142857142855,0.6569999999999999,3.0,0,0.0,0.0,0.6666666666666666,-0.23809523809523808,0.67807,-0.021070000000000033,2.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.6,0.6666666666666666,-0.23809523809523808,0.4,0.19999999999999996
2008_37th,2008-05-15,2008,Arun Jaitley Stadium (Delhi),Delhi Capitals,Deccan Chargers,Delhi Daredevils,0,0.0,0.0,0.0,0,0.0,0.0,0.2222222222222222,-0.2222222222222222,0.19742099999999996,-0.19742099999999996,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,-0.2222222222222222,0.2,-0.2
2008_37th,2008-05-15,2008,Arun Jaitley Stadium (Delhi),Deccan Chargers,Delhi Capitals,Delhi Daredevils,0,0.2222222222222222,0.19742099999999996,1.0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.19742099999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2,0.0,0.2222222222222222,0.0,0.2
2008_38th,2008-05-16,2008,Wankhede Stadium (Mumbai),Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,0.5555555555555556,0.7393542999999999,3.0,0,0.0,0.0,0.5,0.05555555555555558,0.7598999999999999,-0.0205457,4.0,-1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.6,0.5,0.05555555555555558,0.8,-0.20000000000000007
2008_38th,2008-05-16,2008,Wankhede Stadium (Mumbai),Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,0.5,0.7598999999999999,4.0,0,0.0,0.0,0.5555555555555556,-0.05555555555555558,0.7393542999999999,0.0205457,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5555555555555556,-0.05555555555555558,0.6,0.20000000000000007
2008_39th,2008-05-17,2008,Sawai Mansingh Stadium (Jaipur),Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,0,0.0,0.0,0.0,0,0.0,0.0,0.7777777777777778,-0.7777777777777778,0.7953519899999998,-0.7953519899999998,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,-0.7777777777777778,0.8,-0.8
2008_40th,2008-05-17,2008,Arun Jaitley Stadium (Delhi),Delhi Capitals,Punjab Kings,Kings XI Punjab,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008_39th,2008-05-17,2008,Sawai Mansingh Stadium (Jaipur),Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,1,0.7777777777777778,0.7953519899999998,4.0,0,0.0,0.0,0.0,0.7777777777777778,0.0,0.7953519899999998,0.0,4.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.8,0.0,0.7777777777777778,0.0,0.8
